date,New South Wales,Queensland,South Australia,Tasmania,Victoria
1 Jan 2010 12:00 am,79,59,15,12,58
1 Jan 2011 12:00 am,79,58,15,12,59
1 Jan 2012 12:00 am,75,57,14,12,58
1 Jan 2013 12:00 am,72,55,14,13,56
1 Jan 2014 12:00 am,70,53,14,14,55
1 Jan 2015 12:00 am,71,59,13,11,56
1 Jan 2016 12:00 am,74,61,15,11,56
1 Jan 2017 12:00 am,74,63,14,12,55
1 Jan 2018 12:00 am,75,64,15,12,51
1 Jan 2019 12:00 am,75,64,15,12,50
1 Jan 2020 12:00 am,74,64,15,12,51
1 Jan 2021 12:00 am,73,63,15,12,52
1 Jan 2022 12:00 am,74,63,15,13,54
1 Jan 2023 12:00 am,76,64,15,12,54
1 Jan 2024 12:00 am,77,67,15,12,55
1 Jan 2025 12:00 am,82,63,16,12,51
1 Jan 2026 12:00 am,81,67,18,13,54
1 Jan 2027 12:00 am,85,70,19,14,56
1 Jan 2028 12:00 am,90,70,21,15,58
1 Jan 2029 12:00 am,95,72,22,15,58
1 Jan 2030 12:00 am,103,80,24,16,64
1 Jan 2031 12:00 am,106,82,24,19,66
1 Jan 2032 12:00 am,107,88,24,21,72
1 Jan 2033 12:00 am,110,92,25,20,77
1 Jan 2034 12:00 am,113,96,27,22,80
1 Jan 2035 12:00 am,123,102,27,21,82
1 Jan 2036 12:00 am,125,105,28,22,86
1 Jan 2037 12:00 am,126,111,28,23,90
1 Jan 2038 12:00 am,129,113,29,25,97
1 Jan 2039 12:00 am,130,117,30,25,101
1 Jan 2040 12:00 am,133,119,30,25,105
1 Jan 2041 12:00 am,135,124,31,25,105
1 Jan 2042 12:00 am,137,127,32,25,107
1 Jan 2043 12:00 am,139,130,33,26,107
1 Jan 2044 12:00 am,142,136,34,25,109
1 Jan 2045 12:00 am,144,138,35,28,112
1 Jan 2046 12:00 am,144,142,36,28,114
1 Jan 2047 12:00 am,147,145,36,26,114
1 Jan 2048 12:00 am,149,148,37,27,116
1 Jan 2049 12:00 am,152,151,37,27,117
1 Jan 2050 12:00 am,155,154,38,29,119
1 Jan 2051 12:00 am,156,158,38,28,120
1 Jan 2052 12:00 am,159,161,39,27,122
